Date,AAPL,AMZN,BRK-B,DIS,GOOGL,JNJ,JPM,KO,MA,META,MSFT,NFLX,NVDA,PEP,PFE,PG,TSLA,V,WMT,XOM
2019-10-07,54.80768966674805,86.63300323486328,207.24000549316406,128.53256225585938,60.19428634643555,114.20162963867188,98.4715347290039,45.79347229003906,263.9742126464844,178.99623107910156,130.44696044921875,274.4599914550781,4.585627555847168,118.98338317871094,26.73822593688965,107.23412322998047,15.847999572753906,168.26480102539062,36.091861724853516,52.26789855957031
2019-10-08,54.16560745239258,85.27549743652344,204.08999633789062,126.14651489257812,59.29156494140625,113.06954956054688,96.2760238647461,45.54696273803711,259.32318115234375,177.07357788085938,129.06752014160156,270.7200012207031,4.408999443054199,118.03733825683594,26.43972396850586,105.56678771972656,16.003332138061523,165.87887573242188,36.199623107910156,51.25357437133789
2019-10-09,54.80043411254883,86.09950256347656,206.69000244140625,126.99095916748047,59.90284729003906,110.82258605957031,96.9734115600586,45.75947570800781,264.34326171875,179.16558837890625,131.512451171875,267.5299987792969,4.495573043823242,118.5619888305664,26.633750915527344,106.48336791992188,16.302000045776367,168.24554443359375,36.61524963378906,51.822208404541016
2019-10-10,55.539058685302734,86.01300048828125,206.86000061035156,127.00077056884766,60.255069732666016,110.68534088134766,98.33377075195312,45.61497116088867,265.8871154785156,179.34490966796875,132.33056640625,280.4800109863281,4.553287982940674,118.59637451171875,26.7083740234375,106.4484634399414,16.31599998474121,168.24554443359375,36.824607849121094,52.44463348388672
2019-10-11,57.016319274902344,86.59600067138672,208.0800018310547,127.6684799194336,60.56594467163086,112.63218688964844,99.99549865722656,45.30894088745117,267.9068298339844,183.48910522460938,132.88233947753906,282.92999267578125,4.626924514770508,118.38136291503906,26.94717025756836,105.70642852783203,16.525999069213867,170.34286499023438,37.01856994628906,53.005584716796875
2019-10-14,56.93424606323242,86.82150268554688,207.91000366210938,127.35427856445312,60.66857147216797,112.1090087890625,100.26241302490234,45.30894088745117,268.3631591796875,182.58255004882812,132.7586669921875,285.5299987792969,4.640356540679932,118.21793365478516,27.088964462280273,104.798583984375,17.130666732788086,170.63148498535156,36.68914031982422,53.15925979614258
2019-10-15,56.801475524902344,88.36900329589844,209.3800048828125,127.41319274902344,61.88765335083008,113.92717742919922,103.28446960449219,45.48744583129883,270.47991943359375,188.17120361328125,134.68038940429688,284.25,4.885151386260986,117.254638671875,27.238222122192383,102.31063842773438,17.19266700744629,171.96868896484375,36.79997634887695,53.34369659423828
2019-10-16,56.572174072265625,88.87149810791016,209.2899932861328,128.49330139160156,61.925514221191406,115.92544555664062,103.04341888427734,45.470455169677734,270.19830322265625,188.8286895751953,133.57684326171875,286.2799987792969,4.831416130065918,117.3320541381836,27.118812561035156,102.59870147705078,17.316667556762695,171.1221160888672,36.766109466552734,52.42927169799805
2019-10-17,56.79182815551758,89.3740005493164,208.6199951171875,129.9759979248047,62.41374588012695,116.78306579589844,103.62026977539062,45.72548294067383,268.4893493652344,189.66549682617188,132.89186096191406,293.3500061035156,4.833405017852783,117.79649353027344,27.208362579345703,102.46341705322266,17.46466636657715,171.18942260742188,36.895416259765625,52.360107421875
2019-10-18,57.0645866394043,87.87550354003906,208.75999450683594,128.5227508544922,61.99576187133789,109.51899719238281,103.80108642578125,46.56705093383789,262.7799377441406,185.1427764892578,130.7228546142578,275.29998779296875,4.7388715744018555,117.18582916259766,27.208362579345703,103.20137786865234,17.1299991607666,169.04409790039062,36.679901123046875,51.952850341796875
2019-10-21,58.05424118041992,89.28299713134766,211.49000549316406,127.90414428710938,61.98928451538086,109.79341888427734,106.37543487548828,46.099510192871094,266.34344482421875,189.0378875732422,131.69317626953125,278.04998779296875,4.876194477081299,117.07402801513672,27.208362579345703,104.61583709716797,16.899999618530273,169.73670959472656,36.8646240234375,52.8211555480957
2019-10-22,57.921485900878906,88.2864990234375,210.6199951171875,130.00543212890625,61.83584213256836,110.805419921875,107.44306182861328,45.7764778137207,253.68174743652344,181.6461181640625,129.7334442138672,266.69000244140625,4.866243839263916,117.53846740722656,27.185976028442383,107.33928680419922,17.038667678833008,164.3780517578125,36.815364837646484,53.09010696411133
